,index,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,occupancy_rate,annual_rental_income,investment_score
5572,13622,684632659587626501,"코리아타운 3분거리,아속역 5분,무료인터넷",470350702,형근,Khlong Toei,13.73682,100.55718,Private room,1273.0,2,6,1.34,1,319,6,0.126027397260274,58558.000000000015,0.46137131030528616
5573,13623,696689718916241820,Cozy 1 studio unit 2 beds with kitchen,219363220,Mike,Khlong Toei,13.70363,100.59585,Private room,450.0,1,1,0.26,1,181,1,0.5041095890410958,82799.99999999999,0.46137131030528616
5574,13630,685117420886446494,Room in the center of Bangkok with a rooftop pool,172372709,Stasya,Bang Rak,13.72803,100.52962,Private room,2050.0,2,0,0.0,1,361,0,0.010958904109588996,8199.999999999967,0.4183083796413036
5575,13631,696726593025121639,Thaya Hotel Bangkok,475721302,Thaya Hotel,Suanluang,13.7360783,100.6297379,Private room,6000.0,1,0,0.0,2,365,0,0.0,0.0,0.21380635382467506
5576,13632,696737652968103216,อยู่ในถนนข้าวสาร,475726903,Suthawan,Phra Nakhon,13.7580399,100.498786,Private room,790.0,1,0,0.0,1,365,0,0.0,0.0,0.5603982406521189
5577,13640,697435270990965055,Smart life in the Golden Area of Bangkok.,62049951,Jaidsada,Khlong San,13.73129,100.50465,Private room,800.0,30,0,0.0,1,342,0,0.06301369863013695,18399.99999999999,0.3659777409752933
5578,13649,688323633208133895,Lovely 1-bedroom with pool/shared common area,9661968,Neena,Khlong Toei,13.73514,100.55167,Private room,700.0,7,3,3.0,5,351,3,0.0383561643835616,9799.999999999989,0.46137131030528616
5579,13650,688323961777752999,Beautiful house & Amazing location near BTS/Park,9661968,Neena,Khlong Toei,13.73681,100.55154,Private room,850.0,7,6,2.17,5,55,6,0.8493150684931507,263500.0,0.46137131030528616
5580,13653,688618219666351880,H2o(Room2)​,390879039,Ignite,Vadhana,13.73523,100.5639,Private room,850.0,1,7,2.84,2,344,7,0.05753424657534245,17849.999999999996,0.48270041526150653
5581,13654,688668586342965827,Simple area for simple one.,8228906,Nooch,Taling Chan,13.78196,100.43164,Private room,614.0,1,0,0.0,2,0,0,1.0,224110.0,0.2267295280431324
5582,13659,685241914737299767,City Room - 20 Sq.m.,472052126,Pemikapas,Bang Rak,13.724208,100.5295088,Private room,3567.0,1,0,0.0,2,358,0,0.019178082191780854,24969.00000000004,0.4183083796413036
